  34.651  -86.543   186.0 em64rp kd4qio AL
starthere
  39.917  116.383     0.0 om89ew Beijing China
stophere
  -3.850  -32.417     0.0 hi36sd PP0-PY0 Fernando de Noronha,V.d.Remedios
  33.955 -118.205     0.0 dm03vw South Gate CA
  37.958 -121.288     0.0 cm97iw Stockton CA
  37.377 -122.033     0.0 cm87xj Sunnyvale CA
  34.172 -118.840     0.0 dm04ne Thousand Oaks CA
  33.825 -118.308     0.0 dm03ut Torrance CA
  38.110 -122.250     0.0 cm88vc Vallejo CA
  34.183 -118.367     0.0 dm04te Van Nuys CA
  33.900 -118.442     0.0 dm03sv Venice CA
  34.283 -119.300     0.0 dm04ig Ventura CA
  36.335 -119.297     0.0 dm06ii Visalia CA
  37.902 -122.058     0.0 cm87xv Walnut Creek CA
  34.072 -117.909     0.0 dm14bb West Corina CA
  33.775 -117.993     0.0 dm13as Westminster CA
  33.967 -118.042     0.0 dm03xx Whittier CA
  39.800 -105.078     0.0 dm79lt Arvada CO
  39.740 -104.868     0.0 dm79nr Aurora CO
  40.013 -105.280     0.0 dn70ia Boulder CO
  38.835 -104.821     0.0 dm78ou Colorado Springs CO
  39.749 -104.989     0.0 dm79mr Denver CO
  39.653 -104.985     0.0 dm79mp Englewood CO
  40.580 -105.083     0.0 dn70ln Fort Collins CO
  40.418 -104.693     0.0 dn70pk Greeley CO
  39.740 -105.078     0.0 dm79lr Lakewood CO
  38.271 -104.609     0.0 dm78qg Pueblo CO
  39.863 -104.965     0.0 dm79mu Thornton CO
  39.830 -105.033     0.0 dm79lt Westminster CO
  41.180  -73.189     0.0 fn31je Bridgeport CT
  41.673  -72.950     0.0 fn31mq Bristol CT
  41.393  -73.457     0.0 fn31gj Danbury CT
  41.142  -73.263     0.0 fn31id Fairfield CT
  41.028  -73.625     0.0 fn31ea Greenwich CT
  41.385  -72.903     0.0 fn31nj Hamden CT
  41.770  -72.680     0.0 fn31ps Hartford CT
  41.783  -72.523     0.0 fn31rs Manchester CT
  41.535  -72.792     0.0 fn31om Meriden CT
  41.225  -73.060     0.0 fn31lf Milford CT
  41.669  -72.783     0.0 fn31oq New Britian CT
  41.307  -72.925     0.0 fn31mh New Haven CT
  41.123  -73.365     0.0 fn31hc Norwalk CT
  41.053  -73.540     0.0 fn31fb Stamford CT
  41.200  -73.133     0.0 fn31ke Stratford CT
  41.554  -73.042     0.0 fn31ln Waterbury CT
  41.750  -72.740     0.0 fn31ps West Hartford CT
  41.283  -72.953     0.0 fn31mg West Haven CT
  39.673  -75.720     0.0 fm29dq Brookside Park DE
  39.805  -75.453     0.0 fm29gt Claymont DE
  39.133  -75.550     0.0 fm29fd Dover DE
  39.740  -75.590     0.0 fm29er Elsmere DE
  39.663  -75.562     0.0 fm29fp New Castle DE
  39.683  -75.758     0.0 fm29cq Newark DE
  38.642  -75.612     0.0 fm28ep Seaford DE
  39.303  -75.607     0.0 fm29eh Smyrna DE
  39.746  -75.548     0.0 fm29fr Wilmington DE
  38.897  -77.009     0.0 fm18lv Washington DC
  26.350  -80.087     0.0 el96wi Boca Raton FL
  27.967  -82.798     0.0 el87ox Clearwater FL
  29.212  -81.019     0.0 el99lf Daytona Beach FL
  26.120  -80.137     0.0 el96wc Fort Lauderdale FL
  29.660  -82.330     0.0 el89up Gainesville FL
  25.828  -80.283     0.0 el95ut Hialeah FL
  26.010  -80.150     0.0 el96wa Hollywood FL
  30.329  -81.662     0.0 em90eh Jacksonville FL
  27.918  -82.790     0.0 el87ow Largo FL
  25.777  -80.192     0.0 el95vs Miami FL
  25.788  -80.130     0.0 el95ws Miami Beach FL
  28.545  -81.377     0.0 el98hn Orlando FL
  30.414  -87.215     0.0 em60jj Pensacola FL
  26.233  -80.125     0.0 el96wf Pompano Beach FL
  27.337  -82.532     0.0 el87ri Sarasota FL
  27.772  -82.639     0.0 el87qs St. Petersburg FL
  30.445  -84.282     0.0 em70uk Tallahassee FL
  27.949  -82.457     0.0 el87sw Tampa FL
  26.717  -80.053     0.0 el96xr West Palm Beach FL
  31.575  -84.158     0.0 em71wn Albany GA
  33.957  -83.383     0.0 em83hw Athens GA
  33.753  -84.394     0.0 em73ts Atlanta GA
  33.472  -81.967     0.0 em93al Augusta GA
  32.469  -84.990     0.0 em72ml Columbus GA
  33.677  -84.443     0.0 em73sq East Point GA
  32.837  -83.627     0.0 em82eu Macon GA
  33.950  -84.547     0.0 em73rw Marietta GA
  32.078  -81.094     0.0 em92kb Savannah GA
  30.832  -83.278     0.0 em80it Valdosta GA
  32.617  -83.602     0.0 em82eo Warner Robins GA
  21.335 -158.043     0.0 bl01xi Ewa HI
  19.725 -155.090     0.0 bk29kr Hilo HI
  21.306 -157.860     0.0 bl11bh Honolulu HI
  21.980 -159.375     0.0 bl01hx Lihue HI
  21.500 -158.033     0.0 bl01xl Wahiawa HI
  43.619 -116.199     0.0 dn13vo Boise ID
  43.665 -116.687     0.0 dn13pp Caldwell ID
  43.492 -112.033     0.0 dn33xl Idaho Falls ID
  46.412 -117.020     0.0 dn16lj Lewiston ID
  46.733 -117.000     0.0 dn16mr Moscow ID
